"Nr.";"Name";"Wahberechtigte";"abgegebeneStimmen";"Wahlbeteiligung in p";"ungueltigeStimmen";"Ungueltige in p";"gueltigeStimmen";"Gueltige in p";" OEVP ";"OEVPp";" SPOE ";"SPOEp";" GRUENE ";"GRUENEp";" FPOE ";"FPOEp";" BZOE ";"BZOEp";" DCOOE ";"DCOOEp";" KPOE ";"KPOEp";"Stimmen";" Ant. % ";"DatumErst";"ZeitErst";"DatumLetzt";"ZeitLetzt"
41116;"Perg                          ";5794;4797;82.79;58;1.21;4739;98.79;2321;48.98;1235;26.06;403;8.5;629;13.27;116;2.45;19;0.4;16;0.34;" 0 ";" 0 ";27/09/2009;5:17:51 PM;27/09/2009;5:17:51 PM
41117;"Rechberg                      ";719;677;94.16;10;1.48;667;98.52;470;70.46;93;13.94;40;6;39;5.85;13;1.95;12;1.8;0;0;" 0 ";" 0 ";27/09/2009;2:44:14 PM;27/09/2009;2:44:14 PM
41118;"Ried in der Riedmark          ";3223;2862;88.8;58;2.03;2804;97.97;1226;43.72;1030;36.73;219;7.81;268;9.56;49;1.75;5;0.18;7;0.25;" 0 ";" 0 ";27/09/2009;6:02:10 PM;27/09/2009;6:02:10 PM
41119;"St.Georgen am Walde           ";1726;1556;90.15;27;1.74;1529;98.26;779;50.95;470;30.74;61;3.99;164;10.73;35;2.29;18;1.18;2;0.13;" 0 ";" 0 ";27/09/2009;3:22:19 PM;27/09/2009;3:22:19 PM
41120;"St.Georgen an der Gusen       ";2957;2508;84.82;51;2.03;2457;97.97;903;36.75;933;37.97;237;9.65;308;12.54;51;2.08;3;0.12;22;0.9;" 0 ";" 0 ";27/09/2009;5:21:24 PM;27/09/2009;5:21:24 PM
41121;"St.Nikola an der Donau        ";590;548;92.88;8;1.46;540;98.54;304;56.3;140;25.93;41;7.59;38;7.04;15;2.78;0;0;2;0.37;" 0 ";" 0 ";27/09/2009;3:07:51 PM;27/09/2009;3:07:51 PM
41122;"St.Thomas am Blasenstein      ";695;626;90.07;12;1.92;614;98.08;440;71.66;74;12.05;20;3.26;46;7.49;25;4.07;6;0.98;3;0.49;" 0 ";" 0 ";27/09/2009;2:24:25 PM;27/09/2009;2:24:25 PM
41123;"Saxen                         ";1378;1300;94.34;18;1.38;1282;98.62;533;41.58;291;22.7;102;7.96;311;24.26;35;2.73;6;0.47;4;0.31;" 0 ";" 0 ";27/09/2009;5:00:36 PM;27/09/2009;5:00:36 PM
41124;"Schwertberg                   ";4030;3391;84.14;60;1.77;3331;98.23;1223;36.72;1285;38.58;275;8.26;463;13.9;44;1.32;4;0.12;37;1.11;" 0 ";" 0 ";27/09/2009;4:57:57 PM;27/09/2009;4:57:57 PM
41125;"Waldhausen im Strudengau      ";2292;2036;88.83;34;1.67;2002;98.33;1066;53.25;569;28.42;120;5.99;201;10.04;24;1.2;16;0.8;6;0.3;" 0 ";" 0 ";27/09/2009;7:42:32 PM;27/09/2009;7:42:32 PM
41126;"Windhaag bei Perg             ";1080;950;87.96;19;2;931;98;586;62.94;150;16.11;78;8.38;84;9.02;21;2.26;10;1.07;2;0.21;" 0 ";" 0 ";27/09/2009;6:34:41 PM;27/09/2009;6:34:41 PM
41200;"Bezirk Ried im Innkreis              ";45781;38042;83.1;716;1.88;37326;98.12;18954;50.78;6702;17.96;2939;7.87;7355;19.7;1095;2.93;167;0.45;114;0.31;" 0 ";" 0 ";27/09/2009;6:06:54 PM;28/09/2009;12:16:48 PM
41201;"Andrichsfurt                  ";563;474;84.19;10;2.11;464;97.89;285;61.42;31;6.68;33;7.11;105;22.63;7;1.51;1;0.22;2;0.43;" 0 ";" 0 ";27/09/2009;3:27:50 PM;27/09/2009;3:27:50 PM
41202;"Antiesenhofen                 ";819;736;89.87;12;1.63;724;98.37;337;46.55;157;21.69;49;6.77;91;12.57;87;12.02;1;0.14;2;0.28;" 0 ";" 0 ";27/09/2009;2:25:33 PM;27/09/2009;5:21:53 PM
41203;"Aurolzmünster                 ";2310;1786;77.32;27;1.51;1759;98.49;829;47.13;348;19.78;84;4.78;437;24.84;55;3.13;2;0.11;4;0.23;" 0 ";" 0 ";27/09/2009;2:52:06 PM;27/09/2009;2:52:06 PM
41204;"Eberschwang                   ";2672;2312;86.53;45;1.95;2267;98.05;902;39.79;640;28.23;190;8.38;425;18.75;90;3.97;15;0.66;5;0.22;" 0 ";" 0 ";27/09/2009;5:53:17 PM;27/09/2009;5:53:17 PM
41205;"Eitzing                       ";577;526;91.16;10;1.9;516;98.1;286;55.43;90;17.44;25;4.84;99;19.19;11;2.13;2;0.39;3;0.58;" 0 ";" 0 ";27/09/2009;3:12:55 PM;27/09/2009;3:12:55 PM
41206;"Geiersberg                    ";441;372;84.35;4;1.08;368;98.92;199;54.08;61;16.58;27;7.34;66;17.93;9;2.45;3;0.82;3;0.82;" 0 ";" 0 ";27/09/2009;2:33:00 PM;27/09/2009;2:33:00 PM
41207;"Geinberg                      ";1049;908;86.56;20;2.2;888;97.8;460;51.8;130;14.64;57;6.42;199;22.41;32;3.6;6;0.68;4;0.45;" 0 ";" 0 ";27/09/2009;2:47:41 PM;27/09/2009;2:47:41 PM
41208;"Gurten                        ";901;753;83.57;19;2.52;734;97.48;373;50.82;148;20.16;49;6.68;136;18.53;25;3.41;2;0.27;1;0.14;" 0 ";" 0 ";27/09/2009;2:39:23 PM;27/09/2009;3:29:06 PM
41209;"Hohenzell                     ";1612;1344;83.37;20;1.49;1324;98.51;791;59.74;133;10.05;136;10.27;198;14.95;38;2.87;25;1.89;3;0.23;" 0 ";" 0 ";27/09/2009;5:02:30 PM;27/09/2009;5:02:30 PM
41210;"Kirchdorf am Inn              ";464;426;91.81;2;0.47;424;99.53;271;63.92;55;12.97;23;5.42;67;15.8;8;1.89;0;0;0;0;" 0 ";" 0 ";27/09/2009;3:27:13 PM;27/09/2009;3:27:13 PM
41211;"Kirchheim im Innkreis         ";559;512;91.59;6;1.17;506;98.83;309;61.07;71;14.03;25;4.94;94;18.58;7;1.38;0;0;0;0;" 0 ";" 0 ";27/09/2009;3:13:31 PM;27/09/2009;3:13:31 PM
41212;"Lambrechten                   ";1038;923;88.92;14;1.52;909;98.48;533;58.64;111;12.21;55;6.05;197;21.67;12;1.32;0;0;1;0.11;" 0 ";" 0 ";27/09/2009;5:19:06 PM;27/09/2009;5:19:06 PM
41213;"Lohnsburg am Kobernaußerwald  ";1833;1556;84.89;23;1.48;1533;98.52;846;55.19;218;14.22;80;5.22;315;20.55;60;3.91;8;0.52;6;0.39;" 0 ";" 0 ";27/09/2009;1:57:21 PM;27/09/2009;1:57:21 PM
41214;"Mehrnbach                     ";1865;1557;83.49;31;1.99;1526;98.01;768;50.33;217;14.22;107;7.01;381;24.97;44;2.88;7;0.46;2;0.13;" 0 ";" 0 ";27/09/2009;4:31:06 PM;27/09/2009;4:31:06 PM
41215;"Mettmach                      ";2030;1702;83.84;46;2.7;1656;97.3;819;49.46;333;20.11;58;3.5;373;22.52;57;3.44;9;0.54;7;0.42;" 0 ";" 0 ";27/09/2009;6:06:54 PM;27/09/2009;6:06:54 PM
41216;"Mörschwang                    ";243;211;86.83;4;1.9;207;98.1;145;70.05;15;7.25;18;8.7;18;8.7;11;5.31;0;0;0;0;" 0 ";" 0 ";27/09/2009;12:47:54 PM;27/09/2009;12:47:54 PM
41217;"Mühlheim am Inn               ";510;460;90.2;6;1.3;454;98.7;181;39.87;130;28.63;31;6.83;91;20.04;14;3.08;4;0.88;3;0.66;" 0 ";" 0 ";27/09/2009;1:57:37 PM;27/09/2009;1:57:37 PM
41218;"Neuhofen im Innkreis          ";1767;1456;82.4;18;1.24;1438;98.76;705;49.03;287;19.96;150;10.43;253;17.59;26;1.81;14;0.97;3;0.21;" 0 ";" 0 ";27/09/2009;4:18:48 PM;27/09/2009;4:18:48 PM
41219;"Obernberg am Inn              ";1169;919;78.61;17;1.85;902;98.15;381;42.24;240;26.61;67;7.43;180;19.96;31;3.44;0;0;3;0.33;" 0 ";" 0 ";27/09/2009;5:01:19 PM;27/09/2009;5:01:19 PM
41220;"Ort im Innkreis               ";915;790;86.34;22;2.78;768;97.22;368;47.92;100;13.02;41;5.34;222;28.91;32;4.17;1;0.13;4;0.52;" 0 ";" 0 ";27/09/2009;3:48:14 PM;27/09/2009;3:48:14 PM
41221;"Pattigham                     ";708;634;89.55;6;0.95;628;99.05;359;57.17;82;13.06;41;6.53;129;20.54;12;1.91;4;0.64;1;0.16;" 0 ";" 0 ";27/09/2009;3:28:39 PM;27/09/2009;3:28:39 PM
41222;"Peterskirchen                 ";572;491;85.84;3;0.61;488;99.39;330;67.62;33;6.76;33;6.76;81;16.6;6;1.23;3;0.61;2;0.41;" 0 ";" 0 ";27/09/2009;2:34:47 PM;27/09/2009;2:34:47 PM
41223;"Pramet                        ";802;707;88.15;12;1.7;695;98.3;346;49.78;125;17.99;41;5.9;162;23.31;18;2.59;1;0.14;2;0.29;" 0 ";" 0 ";27/09/2009;3:46:54 PM;27/09/2009;3:46:54 PM
41224;"Reichersberg                  ";1087;942;86.66;14;1.49;928;98.51;507;54.63;134;14.44;64;6.9;193;20.8;24;2.59;4;0.43;2;0.22;" 0 ";" 0 ";27/09/2009;3:12:25 PM;27/09/2009;3:12:25 PM
41225;"Ried im Innkreis              ";8478;6235;73.54;143;2.29;6092;97.71;2734;44.88;1242;20.39;746;12.25;1156;18.98;165;2.71;20;0.33;29;0.48;" 0 ";" 0 ";27/09/2009;5:49:01 PM;28/09/2009;12:16:48 PM
41226;"St.Georgen b. Obernberg am Inn";469;416;88.7;6;1.44;410;98.56;269;65.61;33;8.05;49;11.95;49;11.95;6;1.46;3;0.73;1;0.24;" 0 ";" 0 ";27/09/2009;2:26:11 PM;27/09/2009;2:26:11 PM
41227;"St.Marienkirchen am Hausruck  ";630;554;87.94;7;1.26;547;98.74;314;57.4;58;10.6;39;7.13;120;21.94;8;1.46;7;1.28;1;0.18;" 0 ";" 0 ";27/09/2009;3:14:09 PM;27/09/2009;3:14:09 PM
41228;"St.Martin im Innkreis         ";1271;1051;82.69;19;1.81;1032;98.19;494;47.87;178;17.25;83;8.04;245;23.74;26;2.52;5;0.48;1;0.1;" 0 ";" 0 ";27/09/2009;5:48:39 PM;27/09/2009;5:48:39 PM
41229;"Schildorn                     ";881;816;92.62;7;0.86;809;99.14;416;51.42;230;28.43;20;2.47;129;15.95;11;1.36;0;0;3;0.37;" 0 ";" 0 ";27/09/2009;3:29:22 PM;27/09/2009;3:29:22 PM
41230;"Senftenbach                   ";585;535;91.45;15;2.8;520;97.2;281;54.04;80;15.38;41;7.88;107;20.58;7;1.35;2;0.38;2;0.38;" 0 ";" 0 ";27/09/2009;3:28:20 PM;27/09/2009;3:28:20 PM
41231;"Taiskirchen im Innkreis       ";1915;1614;84.28;54;3.35;1560;96.65;895;57.37;226;14.49;131;8.4;265;16.99;31;1.99;8;0.51;4;0.26;" 0 ";" 0 ";27/09/2009;3:14:31 PM;27/09/2009;3:14:31 PM
41232;"Tumeltsham                    ";1190;1008;84.71;20;1.98;988;98.02;526;53.24;96;9.72;137;13.87;201;20.34;23;2.33;4;0.4;1;0.1;" 0 ";" 0 ";27/09/2009;4:27:58 PM;27/09/2009;4:27:58 PM
41233;"Utzenaich                     ";1202;1009;83.94;14;1.39;995;98.61;514;51.66;170;17.09;83;8.34;193;19.4;30;3.02;2;0.2;3;0.3;" 0 ";" 0 ";27/09/2009;5:19:37 PM;27/09/2009;5:19:37 PM
41234;"Waldzell                      ";1703;1441;84.62;27;1.87;1414;98.13;693;49.01;357;25.25;73;5.16;226;15.98;56;3.96;4;0.28;5;0.35;" 0 ";" 0 ";27/09/2009;2:58:11 PM;27/09/2009;2:58:11 PM
41235;"Weilbach                      ";499;437;87.58;7;1.6;430;98.4;270;62.79;41;9.53;28;6.51;83;19.3;7;1.63;0;0;1;0.23;" 0 ";" 0 ";27/09/2009;1:52:27 PM;27/09/2009;1:52:27 PM
41236;"Wippenham                     ";452;429;94.91;6;1.4;423;98.6;218;51.54;102;24.11;25;5.91;69;16.31;9;2.13;0;0;0;0;" 0 ";" 0 ";27/09/2009;1:41:14 PM;27/09/2009;1:41:14 PM
41300;"Bezirk Rohrbach                      ";45901;39625;86.33;655;1.65;38970;98.35;23191;59.51;6772;17.38;3001;7.7;4679;12.01;921;2.36;227;0.58;179;0.46;" 0 ";" 0 ";27/09/2009;6:34:36 PM;27/09/2009;7:05:52 PM
41301;"Afiesl                        ";338;320;94.67;4;1.25;316;98.75;185;58.54;72;22.78;18;5.7;31;9.81;6;1.9;2;0.63;2;0.63;" 0 ";" 0 ";27/09/2009;3:02:26 PM;27/09/2009;3:02:26 PM
41302;"Ahorn                         ";397;355;89.42;2;0.56;353;99.44;211;59.77;51;14.45;23;6.52;49;13.88;13;3.68;3;0.85;3;0.85;" 0 ";" 0 ";27/09/2009;3:02:33 PM;27/09/2009;5:27:34 PM
41303;"Aigen im Mühlkreis            ";1547;1246;80.54;24;1.93;1222;98.07;697;57.04;233;19.07;105;8.59;140;11.46;35;2.86;6;0.49;6;0.49;" 0 ";" 0 ";27/09/2009;5:17:16 PM;27/09/2009;5:17:16 PM
41304;"Altenfelden                   ";1744;1508;86.47;32;2.12;1476;97.88;755;51.15;259;17.55;108;7.32;281;19.04;61;4.13;5;0.34;7;0.47;" 0 ";" 0 ";27/09/2009;5:43:17 PM;27/09/2009;5:43:17 PM
41305;"Arnreit                       ";881;770;87.4;10;1.3;760;98.7;533;70.13;76;10;58;7.63;71;9.34;19;2.5;1;0.13;2;0.26;" 0 ";" 0 ";27/09/2009;3:37:18 PM;27/09/2009;3:37:18 PM
41306;"Atzesberg                     ";383;334;87.21;13;3.89;321;96.11;215;66.98;33;10.28;20;6.23;41;12.77;10;3.12;1;0.31;1;0.31;" 0 ";" 0 ";27/09/2009;3:33:58 PM;27/09/2009;3:33:58 PM
41307;"Auberg                        ";435;387;88.97;6;1.55;381;98.45;241;63.25;46;12.07;26;6.82;56;14.7;8;2.1;3;0.79;1;0.26;" 0 ";" 0 ";27/09/2009;1:47:43 PM;27/09/2009;1:47:43 PM
41308;"Berg bei Rohrbach             ";2107;1792;85.05;35;1.95;1757;98.05;1024;58.28;254;14.46;202;11.5;222;12.64;37;2.11;13;0.74;5;0.28;" 0 ";" 0 ";27/09/2009;4:42:22 PM;27/09/2009;4:42:22 PM
41309;"Haslach an der Mühl           ";2127;1808;85;35;1.94;1773;98.06;841;47.43;532;30.01;174;9.81;167;9.42;42;2.37;11;0.62;6;0.34;" 0 ";" 0 ";27/09/2009;5:32:11 PM;27/09/2009;5:32:11 PM
41310;"Helfenberg                    ";810;727;89.75;12;1.65;715;98.35;435;60.84;120;16.78;64;8.95;73;10.21;15;2.1;2;0.28;6;0.84;" 0 ";" 0 ";27/09/2009;4:28:29 PM;27/09/2009;4:28:29 PM
41311;"Hörbich                       ";322;285;88.51;6;2.11;279;97.89;201;72.04;22;7.89;6;2.15;42;15.05;4;1.43;2;0.72;2;0.72;" 0 ";" 0 ";27/09/2009;2:26:51 PM;27/09/2009;2:26:51 PM
41312;"Hofkirchen im Mühlkreis       ";1182;1033;87.39;11;1.06;1022;98.94;630;61.64;147;14.38;103;10.08;111;10.86;23;2.25;5;0.49;3;0.29;" 0 ";" 0 ";27/09/2009;3:42:01 PM;27/09/2009;3:42:01 PM
41313;"Julbach                       ";1330;1237;93.01;9;0.73;1228;99.27;619;50.41;370;30.13;46;3.75;152;12.38;34;2.77;3;0.24;4;0.33;" 0 ";" 0 ";27/09/2009;6:15:38 PM;27/09/2009;6:15:38 PM
41314;"Kirchberg ob der Donau        ";859;771;89.76;7;0.91;764;99.09;420;54.97;149;19.5;57;7.46;119;15.58;13;1.7;1;0.13;5;0.65;" 0 ";" 0 ";27/09/2009;5:52:46 PM;27/09/2009;5:52:46 PM
41315;"Klaffer am Hochficht          ";1054;941;89.28;12;1.28;929;98.72;519;55.87;241;25.94;38;4.09;112;12.06;16;1.72;3;0.32;0;0;" 0 ";" 0 ";27/09/2009;6:34:36 PM;27/09/2009;6:34:36 PM
41316;"Kleinzell im Mühlkreis        ";1154;991;85.88;23;2.32;968;97.68;537;55.48;223;23.04;66;6.82;112;11.57;26;2.69;3;0.31;1;0.1;" 0 ";" 0 ";27/09/2009;4:32:04 PM;27/09/2009;4:32:04 PM
41317;"Kollerschlag                  ";1194;1027;86.01;20;1.95;1007;98.05;637;63.26;159;15.79;34;3.38;142;14.1;18;1.79;17;1.69;0;0;" 0 ";" 0 ";27/09/2009;3:27:08 PM;27/09/2009;3:27:08 PM
41318;"Lembach im Mühlkreis          ";1274;1053;82.65;30;2.85;1023;97.15;562;54.94;209;20.43;87;8.5;128;12.51;20;1.96;13;1.27;4;0.39;" 0 ";" 0 ";27/09/2009;4:32:15 PM;27/09/2009;4:32:15 PM
41319;"Lichtenau im Mühlkreis        ";440;381;86.59;9;2.36;372;97.64;223;59.95;65;17.47;17;4.57;50;13.44;11;2.96;6;1.61;0;0;" 0 ";" 0 ";27/09/2009;2:12:01 PM;27/09/2009;2:12:01 PM
41320;"Nebelberg                     ";499;480;96.19;6;1.25;474;98.75;320;67.51;97;20.46;21;4.43;26;5.49;5;1.05;3;0.63;2;0.42;" 0 ";" 0 ";27/09/2009;5:01:45 PM;27/09/2009;5:01:45 PM
41321;"Neufelden                     ";982;823;83.81;9;1.09;814;98.91;453;55.65;137;16.83;102;12.53;90;11.06;19;2.33;10;1.23;3;0.37;" 0 ";" 0 ";27/09/2009;4:14:06 PM;27/09/2009;4:14:06 PM
41322;"Niederkappel                  ";830;733;88.31;13;1.77;720;98.23;453;62.92;81;11.25;31;4.31;133;18.47;13;1.81;3;0.42;6;0.83;" 0 ";" 0 ";27/09/2009;4:47:02 PM;27/09/2009;4:47:02 PM
41323;"Niederwaldkirchen             ";1388;1259;90.71;24;1.91;1235;98.09;789;63.89;198;16.03;85;6.88;120;9.72;29;2.35;7;0.57;7;0.57;" 0 ";" 0 ";27/09/2009;2:57:33 PM;27/09/2009;2:57:33 PM
41324;"Oberkappel                    ";522;444;85.06;6;1.35;438;98.65;302;68.95;53;12.1;12;2.74;49;11.19;16;3.65;5;1.14;1;0.23;" 0 ";" 0 ";27/09/2009;2:32:02 PM;27/09/2009;2:32:02 PM
41325;"Oepping                       ";1290;1122;86.98;17;1.52;1105;98.48;656;59.37;185;16.74;101;9.14;129;11.67;23;2.08;10;0.9;1;0.09;" 0 ";" 0 ";27/09/2009;3:57:02 PM;27/09/2009;3:57:02 PM
41326;"Peilstein im Mühlviertel      ";1304;1136;87.12;16;1.41;1120;98.59;715;63.84;205;18.3;59;5.27;104;9.29;20;1.79;15;1.34;2;0.18;" 0 ";" 0 ";27/09/2009;5:08:03 PM;27/09/2009;5:08:03 PM
41327;"Pfarrkirchen im Mühlkreis     ";1180;980;83.05;11;1.12;969;98.88;628;64.81;113;11.66;75;7.74;122;12.59;25;2.58;2;0.21;4;0.41;" 0 ";" 0 ";27/09/2009;4:03:10 PM;27/09/2009;4:03:10 PM
41328;"Putzleinsdorf                 ";1223;1012;82.75;14;1.38;998;98.62;629;63.03;113;11.32;60;6.01;134;13.43;41;4.11;14;1.4;7;0.7;" 0 ";" 0 ";27/09/2009;5:43:28 PM;27/09/2009;5:43:28 PM
41329;"Neustift im Mühlkreis         ";1149;978;85.12;16;1.64;962;98.36;650;67.57;149;15.49;68;7.07;72;7.48;18;1.87;4;0.42;1;0.1;" 0 ";" 0 ";27/09/2009;5:37:27 PM;27/09/2009;5:37:27 PM
41330;"Rohrbach in Oberösterreich    ";1939;1567;80.81;38;2.43;1529;97.57;840;54.94;254;16.61;203;13.28;168;10.99;31;2.03;11;0.72;22;1.44;" 0 ";" 0 ";27/09/2009;5:22:27 PM;27/09/2009;5:22:27 PM
41331;"St.Johann am Wimberg          ";808;747;92.45;7;0.94;740;99.06;459;62.03;78;10.54;60;8.11;108;14.59;31;4.19;0;0;4;0.54;" 0 ";" 0 ";27/09/2009;2:57:49 PM;27/09/2009;2:57:49 PM
41332;"St.Martin im Mühlkreis        ";2907;2477;85.21;33;1.33;2444;98.67;1415;57.9;461;18.86;216;8.84;283;11.58;53;2.17;9;0.37;7;0.29;" 0 ";" 0 ";27/09/2009;5:52:53 PM;27/09/2009;5:52:53 PM
41333;"St.Oswald bei Haslach         ";434;405;93.32;6;1.48;399;98.52;232;58.15;101;25.31;24;6.02;32;8.02;9;2.26;1;0.25;0;0;" 0 ";" 0 ";27/09/2009;3:17:22 PM;27/09/2009;3:17:22 PM
41334;"St.Peter am Wimberg           ";1401;1239;88.44;24;1.94;1215;98.06;832;68.48;167;13.74;80;6.58;122;10.04;8;0.66;1;0.08;5;0.41;" 0 ";" 0 ";27/09/2009;2:46:53 PM;27/09/2009;2:46:53 PM
41335;"St.Stefan am Walde            ";674;585;86.8;14;2.39;571;97.61;350;61.3;83;14.54;57;9.98;52;9.11;15;2.63;11;1.93;3;0.53;" 0 ";" 0 ";27/09/2009;1:56:50 PM;27/09/2009;1:56:50 PM
41336;"St.Ulrich im Mühlkreis        ";485;433;89.28;5;1.15;428;98.85;254;59.35;54;12.62;51;11.92;51;11.92;14;3.27;1;0.23;3;0.7;" 0 ";" 0 ";27/09/2009;3:56:46 PM;27/09/2009;3:56:46 PM
41337;"St.Veit im Mühlkreis          ";964;812;84.23;16;1.97;796;98.03;491;61.68;123;15.45;55;6.91;106;13.32;17;2.14;2;0.25;2;0.25;" 0 ";" 0 ";27/09/2009;2:39:46 PM;27/09/2009;2:39:46 PM
41338;"Sarleinsbach                  ";1828;1592;87.09;35;2.2;1557;97.8;1023;65.7;193;12.4;114;7.32;178;11.43;24;1.54;11;0.71;14;0.9;" 0 ";" 0 ";27/09/2009;5:27:51 PM;27/09/2009;5:27:51 PM
41339;"Schlägl                       ";1113;929;83.47;6;0.65;923;99.35;567;61.43;170;18.42;51;5.53;110;11.92;19;2.06;2;0.22;4;0.43;" 0 ";" 0 ";27/09/2009;4:28:35 PM;27/09/2009;4:28:35 PM
41340;"Schönegg                      ";438;399;91.1;8;2.01;391;97.99;224;57.29;90;23.02;27;6.91;37;9.46;10;2.56;1;0.26;2;0.51;" 0 ";" 0 ";27/09/2009;3:27:19 PM;27/09/2009;3:27:19 PM
41341;"Schwarzenberg am Böhmerwald   ";514;449;87.35;6;1.34;443;98.66;273;61.63;68;15.35;15;3.39;72;16.25;15;3.39;0;0;0;0;" 0 ";" 0 ";27/09/2009;3:02:41 PM;27/09/2009;6:30:24 PM
41342;"Ulrichsberg                   ";2451;2058;83.97;25;1.21;2033;98.79;1151;56.62;338;16.63;182;8.95;282;13.87;55;2.71;4;0.2;21;1.03;" 0 ";" 0 ";27/09/2009;4:28:46 PM;27/09/2009;7:05:52 PM
41400;"Bezirk Schärding                     ";44286;37781;85.31;630;1.67;37151;98.33;19689;53;6606;17.78;2330;6.27;6989;18.81;1231;3.31;167;0.45;139;0.37;" 0 ";" 0 ";27/09/2009;6:02:37 PM;27/09/2009;6:02:37 PM
41401;"Altschwendt                   ";513;475;92.59;7;1.47;468;98.53;246;52.56;84;17.95;39;8.33;71;15.17;26;5.56;2;0.43;0;0;" 0 ";" 0 ";27/09/2009;4:28:51 PM;27/09/2009;4:28:51 PM
41402;"Andorf                        ";3915;3340;85.31;49;1.47;3291;98.53;1582;48.07;861;26.16;178;5.41;563;17.11;98;2.98;3;0.09;6;0.18;" 0 ";" 0 ";27/09/2009;6:02:37 PM;27/09/2009;6:02:37 PM
41403;"Brunnenthal                   ";1536;1272;82.81;23;1.81;1249;98.19;641;51.32;201;16.09;113;9.05;262;20.98;20;1.6;6;0.48;6;0.48;" 0 ";" 0 ";27/09/2009;5:59:19 PM;27/09/2009;5:59:19 PM
41404;"Diersbach                     ";1269;1110;87.47;8;0.72;1102;99.28;598;54.26;172;15.61;79;7.17;189;17.15;50;4.54;7;0.64;7;0.64;" 0 ";" 0 ";27/09/2009;5:01:11 PM;27/09/2009;5:01:11 PM
41405;"Dorf an der Pram              ";823;728;88.46;21;2.88;707;97.12;463;65.49;99;14;32;4.53;96;13.58;13;1.84;1;0.14;3;0.42;" 0 ";" 0 ";27/09/2009;2:26:59 PM;27/09/2009;2:26:59 PM
41406;"Eggerding                     ";1003;856;85.34;13;1.52;843;98.48;511;60.62;106;12.57;42;4.98;154;18.27;22;2.61;4;0.47;4;0.47;" 0 ";" 0 ";27/09/2009;4:49:53 PM;27/09/2009;4:49:53 PM
41407;"Engelhartszell                ";846;687;81.21;21;3.06;666;96.94;393;59.01;110;16.52;37;5.56;101;15.17;23;3.45;1;0.15;1;0.15;" 0 ";" 0 ";27/09/2009;3:48:51 PM;27/09/2009;3:48:51 PM
41408;"Enzenkirchen                  ";1435;1308;91.15;25;1.91;1283;98.09;557;43.41;335;26.11;46;3.59;282;21.98;56;4.36;4;0.31;3;0.23;" 0 ";" 0 ";27/09/2009;5:07:29 PM;27/09/2009;5:07:29 PM
41409;"Esternberg                    ";2256;1879;83.29;22;1.17;1857;98.83;1095;58.97;200;10.77;94;5.06;376;20.25;68;3.66;10;0.54;14;0.75;" 0 ";" 0 ";27/09/2009;5:29:11 PM;27/09/2009;5:29:11 PM
41410;"Freinberg                     ";1008;850;84.33;5;0.59;845;99.41;493;58.34;183;21.66;41;4.85;112;13.25;12;1.42;2;0.24;2;0.24;" 0 ";" 0 ";27/09/2009;4:39:14 PM;27/09/2009;4:39:14 PM
41411;"Kopfing im Innkreis           ";1625;1427;87.82;40;2.8;1387;97.2;765;55.16;192;13.84;87;6.27;262;18.89;50;3.6;22;1.59;9;0.65;" 0 ";" 0 ";27/09/2009;4:29:58 PM;27/09/2009;4:29:58 PM
41412;"Mayrhof                       ";221;207;93.67;6;2.9;201;97.1;142;70.65;8;3.98;8;3.98;40;19.9;3;1.49;0;0;0;0;" 0 ";" 0 ";27/09/2009;1:00:14 PM;27/09/2009;1:00:14 PM
41413;"Münzkirchen                   ";2070;1808;87.34;21;1.16;1787;98.84;1041;58.25;278;15.56;99;5.54;310;17.35;54;3.02;1;0.06;4;0.22;" 0 ";" 0 ";27/09/2009;5:28:26 PM;27/09/2009;5:28:26 PM
41414;"Raab                          ";1853;1562;84.3;35;2.24;1527;97.76;708;46.37;184;12.05;160;10.48;393;25.74;75;4.91;2;0.13;5;0.33;" 0 ";" 0 ";27/09/2009;5:07:45 PM;27/09/2009;5:07:45 PM
41415;"Rainbach im Innkreis          ";1193;1092;91.53;12;1.1;1080;98.9;632;58.52;168;15.56;55;5.09;194;17.96;20;1.85;8;0.74;3;0.28;" 0 ";" 0 ";27/09/2009;5:08:01 PM;27/09/2009;5:08:01 PM
41416;"Riedau                        ";1537;1315;85.56;19;1.44;1296;98.56;561;43.29;356;27.47;96;7.41;235;18.13;40;3.09;3;0.23;5;0.39;" 0 ";" 0 ";27/09/2009;4:13:06 PM;27/09/2009;4:13:06 PM
41417;"St.Aegidi                     ";1306;1173;89.82;18;1.53;1155;98.47;710;61.47;90;7.79;57;4.94;240;20.78;48;4.16;9;0.78;1;0.09;" 0 ";" 0 ";27/09/2009;4:12:47 PM;27/09/2009;4:12:47 PM
41418;"St.Florian am Inn             ";2406;2017;83.83;24;1.19;1993;98.81;919;46.11;463;23.23;130;6.52;419;21.02;36;1.81;11;0.55;15;0.75;" 0 ";" 0 ";27/09/2009;4:39:39 PM;27/09/2009;4:39:39 PM
41419;"St.Marienkirchen bei Schärding";1452;1190;81.96;27;2.27;1163;97.73;612;52.62;135;11.61;78;6.71;283;24.33;45;3.87;2;0.17;8;0.69;" 0 ";" 0 ";27/09/2009;3:37:15 PM;27/09/2009;3:37:15 PM
